Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Bahamas,42,36,44,47,35,33,37,36,37,63,Family Preference
Bahrain,12,6,12,16,11,5,7,15,22,8,Family Preference
Bangladesh,3609,7990,5922,7161,7884,6474,7579,8176,9667,6922,Family Preference
Barbados,65,117,79,72,67,104,54,88,65,75,Family Preference
Belarus,50,44,83,65,74,87,92,89,94,131,Family Preference
Belgium,9,3,9,12,16,18,14,8,10,13,Family Preference
Belize,166,115,123,131,180,156,113,128,150,120,Family Preference
Benin,2,1,7,5,7,17,33,20,19,27,Family Preference
Bermuda,7,3,4,4,5,14,11,18,8,7,Family Preference
Bhutan,0,0,2,0,0,7,2,0,3,7,Family Preference
Bolivia,245,177,192,217,175,322,231,262,244,225,Family Preference
Bosnia and Herzegovina,11,22,25,17,24,49,35,68,125,132,Family Preference
Botswana,0,0,0,3,0,2,2,1,6,2,Family Preference
Brazil,162,128,201,254,255,358,328,409,426,533,Family Preference
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Family Preference
British Virgin Islands,11,19,10,9,10,7,11,11,3,5,Family Preference
Brunei,2,2,2,0,0,0,0,2,2,0,Family Preference
Bulgaria,52,57,121,82,75,133,137,132,164,131,Family Preference
Burkina Faso,0,1,13,7,13,19,17,30,35,32,Family Preference
Burma,473,369,500,550,439,458,404,526,584,550,Family Preference
Burundi,3,0,4,0,3,7,5,9,7,12,Family Preference
Cambodia,404,332,419,397,338,385,408,360,541,682,Family Preference
Cameroon,80,37,93,176,165,273,304,427,458,475,Family Preference
Canada,634,461,484,480,493,503,378,484,424,321,Family Preference
Cape Verde,860,858,756,787,735,888,543,697,1086,1320,Family Preference
Cayman Islands,2,4,3,8,10,7,8,5,6,10,Family Preference
Central African Republic,0,0,0,2,3,7,3,2,3,7,Family Preference
Chad,0,0,0,0,12,2,3,1,6,0,Family Preference
Chile,83,65,101,47,58,74,79,88,67,71,Family Preference
China - mainland born,14635,10873,14161,16989,17599,13146,14273,14564,15535,14954,Family Preference
China - Taiwan born,2346,1673,1674,1117,1141,700,718,620,828,659,Family Preference
Christmas Island,0,0,0,0,0,0,0,0,0,0,Family Preference
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Colombia,2592,2014,2840,3036,2679,3733,3158,3091,2933,3096,Family Preference
Comoros,0,0,0,0,0,2,0,0,1,0,Family Preference
"Congo, Dem. Rep. of the",14,0,21,62,104,88,166,177,186,283,Family Preference
"Congo, Republic of the",3,27,0,6,8,6,7,15,4,8,Family Preference
Cook Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Costa Rica,79,52,87,87,68,130,98,121,112,111,Family Preference
Cote d'Ivoire,50,38,26,57,96,131,106,102,111,191,Family Preference
Croatia,13,11,17,9,5,13,15,9,22,30,Family Preference
Cuba,2592,777,476,610,1419,2297,3593,2262,4176,4791,Family Preference
Curacao,,,,3,6,6,0,4,4,3,Family Preference
Cyprus,9,3,4,4,6,3,4,3,5,4,Family Preference
Czech Republic,15,14,3,10,13,23,19,12,8,10,Family Preference
Denmark,4,6,13,4,7,14,11,4,13,5,Family Preference
Djibouti,3,2,0,0,1,2,3,2,7,0,Family Preference
Dominica,252,236,271,247,149,269,185,118,189,166,Family Preference
Dominican Republic,8649,23478,30482,21395,19811,21196,24990,27856,28335,28667,Family Preference
Ecuador,2532,2551,3201,2798,2240,3736,3482,3108,2767,2977,Family Preference
Egypt,717,593,786,765,724,889,931,826,1016,1091,Family Preference
El Salvador,5180,4969,6200,6355,4867,6978,6741,6494,5935,7046,Family Preference
Equatorial Guinea,0,0,0,0,0,0,0,1,0,0,Family Preference
Eritrea,40,59,58,95,98,144,146,151,180,265,Family Preference
Estonia,2,8,9,7,3,15,2,7,13,6,Family Preference
Ethiopia,570,510,811,1134,1156,1410,1292,1547,2030,2174,Family Preference
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Faroe Islands,,,,0,0,0,0,0,0,0,Family Preference
Fiji,248,255,435,245,260,193,248,338,271,248,Family Preference
Finland,1,1,4,1,8,3,2,4,9,5,Family Preference
France,92,25,69,113,113,105,114,79,136,85,Family Preference
French Guiana,2,6,1,0,,,,,,,Family Preference
French Polynesia,0,0,0,0,1,0,0,0,0,1,Family Preference
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Family Preference
Gabon,0,0,2,4,3,3,9,2,5,13,Family Preference
"Gambia, The",26,17,47,60,49,72,100,77,105,135,Family Preference
Georgia,3,16,29,36,37,73,99,105,138,133,Family Preference
Germany,164,136,149,119,138,115,136,121,137,141,Family Preference
Ghana,632,279,574,793,836,1279,779,903,1222,1625,Family Preference
Gibraltar,0,0,2,0,0,1,0,0,2,0,Family Preference
Great Britain and Northern Ireland,593,362,472,503,427,454,448,430,481,386,Family Preference
Greece,33,26,27,47,17,50,35,59,53,61,Family Preference
Greenland,0,0,0,0,0,0,0,0,0,0,Family Preference
Grenada,116,93,152,103,111,152,73,113,70,81,Family Preference
Guadeloupe,8,5,2,0,,,,,,,Family Preference
Guatemala,1975,1940,2197,2811,2477,2691,2327,2293,2239,2319,Family Preference
Guinea,9,8,29,74,121,79,83,104,105,120,Family Preference
Guinea-Bissau,1,0,2,3,1,2,3,0,4,7,Family Preference
Guyana,3539,2677,3631,3069,2803,3475,3579,3405,3357,2992,Family Preference
Haiti,9004,6641,8639,7384,8382,9665,6612,7430,8427,8905,Family Preference
Honduras,1332,1044,1372,1249,1552,2320,1377,1834,1966,1658,Family Preference
Hong Kong S.A.R.,1760,1023,1253,859,913,746,749,715,903,813,Family Preference
Hungary,18,18,42,14,38,29,23,17,20,36,Family Preference
Iceland,1,2,1,0,1,0,0,1,1,4,Family Preference
India,14162,12443,15399,11437,11818,12305,14016,16108,15655,14839,Family Preference
Indonesia,117,177,308,165,250,196,125,134,154,171,Family Preference
Iran,2767,2276,2881,2293,2619,2041,2410,2095,2407,2062,Family Preference
Iraq,742,467,318,251,288,245,233,220,272,330,Family Preference
Ireland,10,6,6,8,24,11,9,11,36,24,Family Preference
Israel,98,95,126,78,137,127,137,112,105,102,Family Preference
Italy,75,66,69,62,94,86,89,93,124,129,Family Preference
Jamaica,5014,4251,4964,5409,5735,5767,5371,5711,5324,5941,Family Preference
Japan,90,62,82,68,66,87,66,78,95,107,Family Preference
Jordan,1414,1162,1138,1205,1332,1305,1643,1205,1611,1740,Family Preference
Kazakhstan,19,23,59,41,29,46,47,35,61,75,Family Preference
Kenya,172,126,207,228,232,348,394,354,359,529,Family Preference
Kiribati,0,0,0,0,0,0,2,0,0,0,Family Preference
"Korea, North",4,1,3,0,1,2,0,2,1,1,Family Preference
"Korea, South",1230,1059,1638,1181,920,905,770,727,804,935,Family Preference
Kosovo,1,27,37,51,70,114,121,117,112,154,Family Preference
Kuwait,262,225,185,183,192,147,204,160,182,183,Family Preference
Kyrgyzstan,11,0,26,20,11,19,39,38,38,48,Family Preference
Laos,90,79,111,56,70,70,48,72,112,97,Family Preference
Latvia,1,4,17,7,19,24,19,23,33,13,Family Preference
Lebanon,1194,896,907,810,808,786,987,742,791,796,Family Preference
Lesotho,0,0,0,2,0,0,1,0,1,0,Family Preference
Liberia,130,152,166,329,351,346,362,321,293,569,Family Preference
Libya,21,10,22,12,21,12,11,22,30,18,Family Preference
Liechtenstein,0,0,0,0,0,0,0,0,0,0,Family Preference
Lithuania,18,30,60,33,38,59,40,36,54,29,Family Preference
Luxembourg,0,2,3,1,0,1,1,0,0,0,Family Preference
Macau,134,50,74,44,48,41,25,21,19,22,Family Preference
Macedonia,144,130,145,174,159,116,140,142,203,187,Family Preference
Madagascar,6,5,3,4,1,1,0,9,6,3,Family Preference
Malawi,5,2,5,9,3,8,3,8,10,1,Family Preference
Malaysia,103,77,114,160,150,138,158,117,193,161,Family Preference
Maldives,0,0,0,0,0,0,0,1,0,0,Family Preference
Mali,6,2,18,26,37,34,33,23,23,38,Family Preference
Malta,0,0,2,0,2,5,0,0,0,0,Family Preference
Marshall Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Martinique,0,6,0,0,,,,,,,Family Preference
Mauritania,5,1,7,21,36,24,13,27,12,17,Family Preference
Mauritius,0,10,11,1,0,8,7,7,9,9,Family Preference
Mayotte,,,,0,0,0,,,,,Family Preference
Mexico,26854,32351,22005,32881,32026,26555,24833,31359,25192,27627,Family Preference
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,Family Preference
Moldova,16,28,42,57,50,68,97,101,123,73,Family Preference
Monaco,0,0,0,0,0,1,1,0,1,0,Family Preference
Mongolia,3,0,6,14,10,18,23,34,23,28,Family Preference
Montenegro,34,51,45,38,27,50,46,51,82,73,Family Preference
Montserrat,13,9,1,4,0,9,10,5,4,1,Family Preference
Morocco,198,224,293,302,292,303,418,335,359,313,Family Preference
Mozambique,10,1,3,3,6,2,1,3,2,3,Family Preference
Namibia,0,0,1,0,0,0,1,0,0,2,Family Preference
Nauru,0,0,0,0,0,0,0,1,0,0,Family Preference
Nepal,72,166,331,304,253,488,652,628,922,994,Family Preference
Netherlands,23,24,25,17,9,18,19,13,20,13,Family Preference
Netherlands Antilles,10,19,11,3,,,,,,,Family Preference
New Caledonia,0,0,0,0,0,0,0,0,0,0,Family Preference
New Zealand,34,12,30,26,10,20,19,4,16,10,Family Preference
Nicaragua,801,730,931,770,640,756,673,821,678,726,Family Preference
Niger,0,6,2,3,10,12,12,3,9,10,Family Preference
Nigeria,1304,1144,1451,1196,1712,1959,1498,1864,2456,2235,Family Preference
Niue,0,0,0,0,0,0,0,0,0,0,Family Preference
Norfolk Island,,,,0,0,0,0,0,0,0,Family Preference
Northern Ireland (DV only),-,0,0,0,0,0,0,0,0,0,Family Preference
Norway,10,5,7,8,6,3,5,9,12,1,Family Preference
Oman,0,1,3,3,6,9,4,7,14,6,Family Preference
Pakistan,7595,8459,5651,4872,4745,3989,8132,7154,7114,6148,Family Preference
Palau,0,2,0,0,0,1,2,2,0,0,Family Preference
Panama,215,166,169,179,178,163,177,148,143,128,Family Preference
Papua New Guinea,2,0,0,2,1,1,0,0,1,0,Family Preference
Paraguay,19,7,12,32,13,47,20,21,34,29,Family Preference
Peru,2270,1915,2658,2308,2096,2700,2162,2587,2593,2505,Family Preference
Philippines,12783,14686,19636,17280,16118,15842,16304,15524,13516,13478,Family Preference
Pitcairn,0,0,0,0,0,0,0,0,0,0,Family Preference
Poland,1463,1135,1329,863,856,874,663,814,810,701,Family Preference
Portugal,46,39,47,50,47,53,48,39,57,60,Family Preference
Qatar,14,4,20,14,3,22,12,24,26,26,Family Preference
Reunion,0,0,0,0,,,,,,,Family Preference
Romania,196,241,300,204,237,276,180,239,253,245,Family Preference
Russia,205,194,366,350,330,456,414,422,487,444,Family Preference
Rwanda,3,0,1,3,7,15,17,10,16,34,Family Preference
Saint Kitts and Nevis,145,105,142,151,136,116,98,79,62,89,Family Preference
Saint Lucia,110,144,130,133,149,194,181,176,90,150,Family Preference
Saint Martin,,,,0,2,1,0,1,2,0,Family Preference
Saint Vincent and the Grenadines,115,95,100,91,60,94,86,64,71,60,Family Preference
Samoa,5,5,4,3,3,0,9,2,2,8,Family Preference
San Marino,0,0,0,0,0,0,0,0,0,0,Family Preference
Sao Tome and Principe,0,3,1,0,2,2,1,2,2,2,Family Preference
Saudi Arabia,121,136,147,109,116,115,168,146,225,218,Family Preference
Senegal,49,55,70,115,143,146,134,127,106,171,Family Preference
Serbia,46,43,72,56,46,68,58,97,93,113,Family Preference
Seychelles,5,0,0,4,0,1,0,0,5,0,Family Preference
Sierra Leone,66,68,94,145,172,146,129,113,119,265,Family Preference
Singapore,49,35,51,31,36,53,41,30,39,57,Family Preference
Sint Maarten,,,,8,10,13,10,15,9,4,Family Preference
Slovakia,12,10,11,15,24,18,15,5,19,10,Family Preference
Slovenia,2,0,1,3,0,0,3,0,4,0,Family Preference
Solomon Islands,4,0,0,0,0,0,0,0,0,0,Family Preference
Somalia,54,28,44,46,108,123,166,133,178,269,Family Preference
South Africa,61,56,69,78,59,62,65,81,84,93,Family Preference
South Georgia and the South Sandwich Islands,,,,0,0,0,0,0,0,0,Family Preference
South Sudan,,,,0,0,1,1,3,2,17,Family Preference
Spain,20,15,40,53,70,65,59,68,98,65,Family Preference
Sri Lanka,171,122,170,208,153,150,237,251,242,228,Family Preference
St. Barthelemy,,,,0,0,0,0,0,0,0,Family Preference
St. Helena,1,0,0,0,0,0,0,0,0,0,Family Preference
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,Family Preference
Sudan,42,36,39,81,78,92,132,88,121,99,Family Preference
Suriname,43,40,43,43,37,31,55,27,41,42,Family Preference
Svalbard,,,,0,0,0,0,0,0,0,Family Preference
Swaziland,1,0,0,0,3,0,1,0,0,1,Family Preference
Sweden,28,24,28,19,22,20,24,19,22,18,Family Preference
Switzerland,12,5,13,7,11,7,5,5,6,8,Family Preference
Syria,620,666,802,716,921,974,960,844,1157,1177,Family Preference
Tajikistan,5,6,18,8,15,25,25,20,23,26,Family Preference
Tanzania,104,48,95,58,43,34,38,44,79,65,Family Preference
Thailand,242,210,336,290,287,308,248,245,274,261,Family Preference
Timor-Leste,0,0,0,0,0,0,0,0,0,0,Family Preference
Togo,42,70,95,91,111,108,148,174,182,157,Family Preference
Tokelau,,,,0,0,0,0,0,0,0,Family Preference
Tonga,98,49,59,63,24,83,92,80,44,64,Family Preference
Trinidad and Tobago,773,707,737,702,765,822,550,589,533,608,Family Preference
Tunisia,20,13,15,16,9,6,30,11,16,17,Family Preference
Turkey,95,126,159,146,111,140,136,185,177,172,Family Preference
Turkmenistan,3,2,7,10,4,10,13,6,9,21,Family Preference
Turks and Caicos Islands,2,6,4,11,2,8,4,3,2,2,Family Preference
Tuvalu,0,0,0,0,0,0,0,0,0,0,Family Preference
Uganda,101,61,60,58,73,94,99,95,103,112,Family Preference
Ukraine,290,238,450,489,436,648,777,804,948,983,Family Preference
United Arab Emirates,129,123,114,99,164,146,167,195,201,190,Family Preference
Uruguay,12,15,12,20,21,27,10,24,25,39,Family Preference
Uzbekistan,47,45,101,114,169,233,402,404,546,598,Family Preference
Vanuatu,1,0,0,0,0,0,0,4,1,0,Family Preference
Vatican City,0,0,0,0,0,0,0,0,0,0,Family Preference
Venezuela,226,220,393,434,474,440,466,619,558,560,Family Preference
Vietnam,15714,12435,20412,17464,15454,14527,18044,18310,20269,17991,Family Preference
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,Family Preference
Western Sahara,0,0,0,0,0,0,0,0,0,0,Family Preference
Yemen,220,434,448,795,783,559,684,617,4116,1550,Family Preference
Zambia,19,12,17,21,21,27,28,25,15,21,Family Preference
Zimbabwe,23,10,29,35,27,35,51,51,61,45,Family Preference
Afghanistan,12,18,27,22,13,48,57,8,31,15,Employment Preference
Albania,9,24,40,33,7,25,38,26,13,28,Employment Preference
Algeria,4,8,1,8,5,9,4,0,9,21,Employment Preference
Andorra,0,0,0,0,0,0,0,0,0,0,Employment Preference
Angola,3,1,1,0,0,0,4,0,2,1,Employment Preference
Anguilla,0,0,0,0,0,0,0,0,0,0,Employment Preference
Antigua and Barbuda,0,0,1,1,1,0,0,0,4,5,Employment Preference
Argentina,43,40,41,55,24,28,47,37,77,60,Employment Preference
Armenia,15,21,34,30,20,13,31,29,3,65,Employment Preference
Aruba,0,0,0,0,0,0,0,0,0,0,Employment Preference
Australia,33,26,42,22,42,37,38,40,50,50,Employment Preference
Austria,9,4,8,15,1,8,6,12,7,7,Employment Preference
Azerbaijan,4,1,5,16,1,13,14,0,5,10,Employment Preference
Bahamas,2,0,1,3,4,2,10,12,19,28,Employment Preference
Bahrain,2,4,0,1,6,1,1,2,9,5,Employment Preference
Bangladesh,200,215,212,100,101,93,90,65,74,69,Employment Preference
Barbados,6,1,3,4,1,1,4,7,3,4,Employment Preference
Belarus,14,11,15,15,7,6,3,6,35,19,Employment Preference
Belgium,15,14,14,8,21,19,7,20,11,11,Employment Preference
Belize,7,0,1,0,0,5,7,11,11,2,Employment Preference
Benin,15,3,2,3,1,0,0,6,6,5,Employment Preference
Bermuda,1,2,0,2,1,0,9,4,2,0,Employment Preference
Bhutan,0,0,3,1,0,0,0,1,5,0,Employment Preference
Bolivia,198,178,66,75,63,114,80,44,29,11,Employment Preference
Bosnia and Herzegovina,6,0,5,6,5,3,7,10,4,6,Employment Preference
Botswana,0,0,2,1,0,0,0,0,0,1,Employment Preference
Brazil,158,192,155,111,95,112,112,94,163,296,Employment Preference
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Employment Preference
British Virgin Islands,0,0,0,0,0,1,0,0,0,1,Employment Preference
Brunei,0,0,1,0,2,1,1,1,1,1,Employment Preference
Bulgaria,13,20,36,22,4,23,17,10,17,23,Employment Preference
Burkina Faso,13,0,16,16,1,4,4,6,2,25,Employment Preference
Burma,13,20,21,21,36,16,2,2,19,12,Employment Preference
Burundi,0,0,2,0,0,0,5,0,0,0,Employment Preference
Cambodia,8,12,20,17,12,21,29,31,33,120,Employment Preference
Cameroon,12,33,7,8,6,5,8,2,11,4,Employment Preference
Canada,406,365,366,287,314,254,265,211,237,247,Employment Preference
Cape Verde,5,17,12,0,7,2,1,2,1,3,Employment Preference
Cayman Islands,0,0,0,0,0,0,0,0,0,2,Employment Preference
Central African Republic,0,0,1,5,0,0,4,0,2,0,Employment Preference
Chad,0,2,0,1,0,0,0,5,1,0,Employment Preference
Chile,13,8,13,9,10,15,3,13,10,21,Employment Preference
China - mainland born,1251,2338,2994,4076,7460,8006,10034,9005,8673,8039,Employment Preference
China - Taiwan born,159,284,175,201,220,206,190,214,286,311,Employment Preference
Christmas Island,0,0,0,0,0,0,0,0,0,0,Employment Preference
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Employment Preference
Colombia,117,132,107,60,133,107,96,76,91,82,Employment Preference
Comoros,0,0,0,0,0,0,0,0,0,0,Employment Preference
"Congo, Dem. Rep. of the",5,0,5,6,6,1,7,0,2,21,Employment Preference
"Congo, Republic of the",3,13,7,0,0,0,0,0,0,0,Employment Preference
Cook Islands,0,0,0,0,0,0,0,0,0,0,Employment Preference
Costa Rica,14,11,16,10,5,6,10,7,19,7,Employment Preference
Cote d'Ivoire,11,3,2,6,21,6,1,5,5,0,Employment Preference
Croatia,2,5,8,2,5,1,5,1,4,8,Employment Preference
Cuba,0,0,0,0,0,4,3,6,1,4,Employment Preference
Curacao,,,,0,0,1,0,0,0,0,Employment Preference
Cyprus,2,5,2,0,1,2,0,1,4,5,Employment Preference
Czech Republic,15,10,10,3,7,9,14,2,6,9,Employment Preference
Denmark,23,18,9,13,2,11,14,11,14,6,Employment Preference
Djibouti,0,0,7,1,0,2,2,1,12,7,Employment Preference
Dominica,6,0,2,1,6,5,0,1,3,5,Employment Preference
Dominican Republic,21,35,28,22,35,40,51,39,86,57,Employment Preference
Ecuador,371,218,308,294,185,195,156,94,85,37,Employment Preference
Egypt,105,105,190,111,132,136,185,127,163,187,Employment Preference
El Salvador,345,223,200,133,100,117,133,66,74,49,Employment Preference
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,Employment Preference
Eritrea,16,36,26,17,26,20,16,18,35,25,Employment Preference
Estonia,2,2,0,1,0,1,0,1,0,1,Employment Preference
Ethiopia,53,30,67,73,25,104,59,22,52,84,Employment Preference
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Employment Preference
Faroe Islands,,,,0,0,0,0,0,0,0,Employment Preference
Fiji,6,2,0,8,2,5,6,3,1,1,Employment Preference
Finland,10,5,5,1,3,8,6,6,4,11,Employment Preference
France,93,55,73,73,48,59,55,63,77,115,Employment Preference
French Guiana,0,0,0,0,,,,,,,Employment Preference
French Polynesia,0,0,0,2,0,0,0,0,0,0,Employment Preference
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Employment Preference
Gabon,0,0,0,0,0,0,0,1,1,3,Employment Preference
"Gambia, The",8,16,12,15,24,5,3,12,1,4,Employment Preference
Georgia,11,24,21,7,6,15,9,8,10,14,Employment Preference
Germany,118,116,108,83,77,104,75,65,86,90,Employment Preference
Ghana,67,33,32,39,69,74,67,27,31,21,Employment Preference
Gibraltar,0,0,0,0,0,0,0,0,0,0,Employment Preference
Great Britain and Northern Ireland,413,503,323,345,292,311,316,434,369,325,Employment Preference
Greece,11,7,10,8,8,14,18,14,15,24,Employment Preference
Greenland,0,0,0,0,0,0,0,0,0,0,Employment Preference
Grenada,1,0,0,0,0,2,1,0,5,10,Employment Preference
Guadeloupe,0,0,0,0,,,,,,,Employment Preference
Guatemala,138,107,110,101,65,59,38,9,10,13,Employment Preference
Guinea,4,8,0,11,11,4,3,4,8,5,Employment Preference
Guinea-Bissau,0,1,2,0,0,4,2,1,0,0,Employment Preference
Guyana,15,4,11,14,5,10,10,5,12,5,Employment Preference
Haiti,16,19,20,14,5,11,8,16,105,161,Employment Preference
Honduras,123,72,129,84,65,98,57,51,58,12,Employment Preference
Hong Kong S.A.R.,46,24,18,30,42,50,39,58,83,84,Employment Preference
Hungary,16,16,15,25,12,23,8,13,20,20,Employment Preference
Iceland,6,1,6,0,6,8,2,0,1,1,Employment Preference
India,937,644,904,650,616,667,745,682,676,756,Employment Preference
Indonesia,27,33,27,23,13,18,16,28,37,15,Employment Preference
Iran,240,294,272,411,359,332,409,337,294,434,Employment Preference
Iraq,9,23,19,25,22,32,14,5,14,15,Employment Preference
Ireland,15,27,13,12,20,25,20,23,9,14,Employment Preference
Israel,86,82,64,73,45,33,41,41,79,63,Employment Preference
Italy,58,58,49,33,35,44,39,60,74,80,Employment Preference
Jamaica,117,82,85,66,77,127,203,246,485,760,Employment Preference
Japan,350,369,234,243,246,252,206,130,116,154,Employment Preference
Jordan,30,47,39,36,60,42,51,64,71,72,Employment Preference
Kazakhstan,6,8,12,14,4,15,24,10,21,23,Employment Preference
Kenya,37,38,44,40,40,85,49,98,95,166,Employment Preference
Kiribati,0,0,0,0,0,0,0,0,0,0,Employment Preference
"Korea, North",3,3,0,0,0,0,0,0,4,0,Employment Preference
"Korea, South",1341,1593,953,2153,1973,2037,1609,1536,2953,2298,Employment Preference
Kosovo,0,0,0,12,2,6,2,2,9,0,Employment Preference
Kuwait,6,11,8,9,16,8,22,21,25,32,Employment Preference
Kyrgyzstan,0,1,3,0,1,3,1,6,6,6,Employment Preference
Laos,4,5,4,1,7,1,2,9,0,17,Employment Preference
Latvia,0,2,1,1,4,1,5,1,1,4,Employment Preference
Lebanon,96,67,72,75,76,81,90,97,80,94,Employment Preference
Lesotho,0,0,0,0,0,0,0,0,0,0,Employment Preference
Liberia,9,12,9,14,18,6,5,19,4,28,Employment Preference
Libya,1,2,0,1,0,1,3,3,5,7,Employment Preference
Liechtenstein,0,0,0,0,0,0,0,0,0,0,Employment Preference
Lithuania,4,8,5,4,2,11,1,2,6,5,Employment Preference
