Foreign State,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Region Total For Africa,Total,48693,50430,53152,52371,52458,58315,52999,52083,67332,62605
Region Total For Asia,Total,176467,181118,191785,188981,195031,184011,194976,210794,249312,214529
Region Total For Europe,Total,37757,37339,39357,39937,35633,39966,38686,45081,43282,43665
Region Total For North America,Total,175416,171474,166151,162908,168536,158667,152088,189584,222924,206729
Region Total for Oceania,Total,2017,1969,2152,1891,1707,1983,1787,2232,1827,1766
Region Total For South America,Total,29749,26440,29455,30161,28935,30173,26834,31689,33075,30242
Worldwide Grand Totals,Total,470099,468770,482052,476249,482300,473115,467370,531463,617752,559536
Region Total For Africa,Immediate Relatives,19792,20830,21772,20887,30493,24708,20981,22488,34245,29152
Region Total For Asia,Immediate Relatives,74955,81292,76939,80476,82566,74198,67147,85951,105731,80474
Region Total For Europe,Immediate Relatives,17625,18136,17204,18282,17459,16332,13328,18142,19742,14831
Region Total For North America,Immediate Relatives,109212,91132,84549,79873,87796,75834,71613,99518,136370,114537
Region Total for Oceania,Immediate Relatives,867,990,935,941,802,831,636,966,937,615
Region Total For South America,Immediate Relatives,16397,15137,14548,16397,16500,13532,11425,16367,18327,14821
Worldwide Grand Totals,Immediate Relatives,238848,227517,215947,216856,235616,205435,185130,243432,315352,254430
Region Total For Africa,Special Immigrants,61,47,98,111,151,128,146,116,171,163
Region Total For Asia,Special Immigrants,2225,3969,2608,1324,4581,5786,11382,8758,15366,19236
Region Total For Europe,Special Immigrants,128,161,145,204,193,223,213,255,222,191
Region Total For North America,Special Immigrants,63,80,85,105,141,120,180,147,231,250
Region Total for Oceania,Special Immigrants,9,8,18,20,19,19,6,11,10,12
Region Total For South America,Special Immigrants,74,60,89,97,134,148,157,181,176,182
Worldwide Grand Totals,Special Immigrants,2560,4325,3043,1861,5219,6424,12084,9468,16176,20034
Region Total For Africa,Family Preference,5505,4620,6090,6987,7758,9356,8491,9160,11412,13077
Region Total For Asia,Family Preference,83561,79107,95486,87348,86222,77753,91005,91067,98970,88804
Region Total For Europe,Family Preference,4356,3711,5208,4495,4449,5442,5510,6071,7243,6991
Region Total For North America,Family Preference,64257,78610,79868,81378,79400,81084,78638,88298,84298,89749
Region Total for Oceania,Family Preference,432,358,563,380,332,339,422,468,372,376
Region Total For South America,Family Preference,11785,9867,13352,12303,10967,15046,13694,13776,13203,13158
Worldwide Grand Totals,Family Preference,169896,176273,200567,192891,189128,189020,197760,208840,215498,212155
Region Total For Africa,Employment Preference,770,674,830,740,735,824,884,847,969,1113
Region Total For Asia,Employment Preference,8533,9130,8118,10903,15383,16782,17236,17628,20578,18467
Region Total For Europe,Employment Preference,1465,1678,1461,1373,1072,1350,1343,1472,1353,1612
Region Total For North America,Employment Preference,1512,1326,1292,1184,1033,1262,1147,1009,1411,1714
Region Total for Oceania,Employment Preference,53,41,64,45,66,63,62,57,76,68
Region Total For South America,Employment Preference,1139,997,936,854,848,863,693,600,669,840
Worldwide Grand Totals,Employment Preference,13472,13846,12701,15099,19137,21144,21365,21613,25056,23814
Region Total For Africa,Diversity Immigrants,22565,24259,24362,23646,13321,23299,22497,19472,20535,19100
Region Total For Asia,Diversity Immigrants,7116,7572,8611,8895,6204,9480,8193,7377,8661,7512
Region Total For Europe,Diversity Immigrants,14183,13653,15339,15583,12460,16619,18292,19141,14722,20040
Region Total For North America,Diversity Immigrants,372,326,357,368,166,367,510,612,614,479
Region Total for Oceania,Diversity Immigrants,656,572,572,505,488,731,661,730,432,695
Region Total For South America,Diversity Immigrants,354,379,530,510,486,584,865,765,700,1241
Worldwide Grand Totals,Diversity Immigrants,45246,46761,49771,49507,33125,51080,51018,48097,45664,49067