Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,443,2,138,9,"1,271","1,863"
Angola,21,0,20,2,37,80
Benin,104,0,19,6,280,409
Botswana,13,0,6,0,1,20
Burkina Faso,105,0,35,2,131,273
Burundi,35,0,7,0,64,106
Cabo Verde,634,2,"1,086",1,0,"1,723"
Cameroon,"1,308",13,458,11,"1,615","3,405"
Central African Republic,19,0,3,2,8,32
Chad,15,1,6,1,17,40
Comoros,1,0,1,0,0,2
"Congo, Dem. Rep. of the",547,1,186,2,"2,770","3,506"
"Congo, Rep. of the",34,0,4,0,50,88
Cote d'Ivoire,365,2,111,5,508,991
Djibouti,34,0,7,12,33,86
Egypt,"3,262",20,"1,016",163,"2,848","7,309"
Equatorial Guinea,3,0,0,0,0,3
Eritrea,458,1,180,35,149,823
Ethiopia,"5,688",5,"2,030",52,"2,138","9,913"
Gabon,27,0,5,1,8,41
"Gambia, The",443,0,105,1,6,555
Ghana,"3,263",3,"1,222",31,428,"4,947"
Guinea,542,1,105,8,293,949
Guinea-Bissau,8,0,4,0,0,12
Kenya,"1,434",9,359,95,"1,092","2,989"
Lesotho,7,0,1,0,0,8
Liberia,964,11,293,4,"1,550","2,822"
Libya,248,1,30,5,99,383
Madagascar,9,0,6,8,29,52
Malawi,13,0,10,0,0,23
Mali,147,0,23,3,39,212
Mauritania,65,0,12,1,6,84
Mauritius,9,0,9,0,7,25
Morocco,"2,013",8,359,24,"1,110","3,514"
Western Sahara,0,0,0,0,0,0
Mozambique,13,0,2,0,0,15
Namibia,7,0,0,1,3,11
Niger,83,0,9,2,13,107
Nigeria,"6,225",61,"2,456",246,0,"8,988"
Rwanda,34,0,16,8,240,298
Sao Tome and Principe,6,0,2,0,0,8
Senegal,568,6,106,14,136,830
Seychelles,6,0,5,0,0,11
Sierra Leone,674,1,119,5,381,"1,180"
Somalia,"1,511",1,178,3,104,"1,797"
South Africa,444,11,84,86,162,787
South Sudan,86,0,2,0,10,98
Sudan,642,1,121,12,"1,830","2,606"
Swaziland,4,0,0,0,4,8
Tanzania,164,1,79,7,28,279
Togo,683,4,182,1,685,"1,555"
Tunisia,226,1,16,12,97,352
Uganda,366,3,103,56,158,686
Zambia,76,0,15,22,18,131
Zimbabwe,146,1,61,10,79,297
Region Total For Africa,"34,245",171,"11,412",969,"20,535","67,332"
Asia,,,,,,
Afghanistan,818,"12,298",365,31,192,"13,704"
Bahrain,13,0,22,9,2,46
Bangladesh,"7,402",4,"9,667",74,0,"17,147"
Bhutan,17,0,3,5,7,32
Brunei,5,0,2,1,0,8
Burma,627,2,584,19,138,"1,370"
Cambodia,"1,783",0,541,33,266,"2,623"
China - mainland born,"17,807",54,"15,535","8,673",0,"42,069"
#NAME?,574,10,828,286,152,"1,850"
Hong Kong S.A.R.,321,1,903,83,51,"1,359"
India,"14,815",214,"15,655",676,0,"31,360"
Indonesia,424,14,154,37,39,668
Iran,"2,283",21,"2,407",294,"2,722","7,727"
Iraq,958,"2,270",272,14,146,"3,660"
Israel,435,10,105,79,31,660
Japan,"1,318",23,95,116,163,"1,715"
Jordan,"2,975",18,"1,611",71,163,"4,838"
"Korea, North",4,0,1,4,0,9
"Korea, South","1,638",25,804,"2,953",0,"5,420"
Kuwait,272,0,182,25,56,535
Laos,183,2,112,0,0,297
Lebanon,969,5,791,80,71,"1,916"
Malaysia,242,6,193,21,41,503
Maldives,1,0,0,0,0,1
Mongolia,110,1,23,3,155,292
Nepal,"2,167",13,922,132,"3,210","6,444"
Oman,10,0,14,0,4,28
Pakistan,"7,440",62,"7,114",343,0,"14,959"
Philippines,"15,875",219,"13,516","5,664",0,"35,274"
Qatar,79,0,26,2,14,121
Saudi Arabia,444,1,225,45,123,838
Singapore,106,0,39,42,10,197
Sri Lanka,378,0,242,17,302,939
Syria,"1,265",10,"1,157",47,154,"2,633"
Thailand,"1,198",9,274,20,26,"1,527"
Timor-Leste,2,0,0,0,0,2
United Arab Emirates,243,16,201,86,27,573
Vietnam,"12,083",49,"20,269",563,0,"32,970"
Yemen,"8,447",9,"4,116",30,396,"12,998"
Region Total For Asia,"105,731","15,366","98,970","20,578","8,661","249,312"
Europe,,,,,,
Albania,"2,208",13,949,13,"1,502","4,685"
Andorra,0,0,0,0,0,0
Armenia,"1,126",2,279,3,992,"2,402"
Austria,68,1,7,7,8,91
Azerbaijan,171,3,65,5,195,439
Belarus,306,3,94,35,560,998
Belgium,65,0,10,11,11,97
Bosnia and Herzegovina,189,0,125,4,48,366
Bulgaria,648,7,164,17,608,"1,444"
Croatia,79,3,22,4,21,129
Cyprus,27,1,5,4,8,45
Czech Republic,83,4,8,6,27,128
Denmark,52,1,13,14,8,88
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,24,0,13,0,10,47
Finland,81,0,9,4,20,114
France,508,6,136,77,165,892
French Polynesia,5,0,0,0,0,5
French Southern and Antarctic Lands,0,0,0,0,0,0
New Caledonia,1,0,0,0,0,1
St. Barthelemy,0,0,0,0,0,0
Saint Martin,1,0,2,0,0,3
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,450,7,138,10,360,965
Germany,"1,035",6,137,86,265,"1,529"
Great Britain and Northern Ireland,"1,987",10,481,369,0,"2,847"
Anguilla,7,0,3,0,0,10
Bermuda,30,0,8,2,0,40
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,7,0,3,0,0,10
Cayman Islands,16,0,6,0,0,22
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,2,0,0,3
Montserrat,2,1,4,0,0,7
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,6,0,2,0,0,8
Greece,350,2,53,15,50,470
Hungary,121,1,20,20,75,237
Iceland,19,5,1,1,0,26
Ireland,191,1,36,9,29,266
Italy,577,8,124,74,159,942
Kazakhstan,183,3,61,21,236,504
Kosovo,392,0,112,9,164,677
Kyrgyzstan,137,1,38,6,130,312
Latvia,123,0,33,1,31,188
Liechtenstein,0,0,0,0,0,0
Lithuania,100,3,54,6,90,253
Luxembourg,2,0,0,1,0,3
Macedonia,295,1,203,3,206,708
Malta,10,0,0,1,0,11
Moldova,228,3,123,2,"1,187","1,543"
Monaco,1,0,1,0,0,2
Montenegro,138,0,82,0,6,226
Netherlands,175,2,20,17,30,244
Aruba,2,0,1,0,0,3
Curacao,5,0,4,0,0,9
Sint Maarten,16,0,9,0,0,25
Northern Ireland (DV only),0,0,0,0,6,6
Norway,61,2,12,3,3,81
Svalbard,0,0,0,0,0,0
Poland,781,23,810,43,305,"1,962"
Portugal,94,1,57,24,9,185
Macau,10,0,19,10,7,46
Romania,567,29,253,7,325,"1,181"
Russia,"1,720",16,487,144,"1,327","3,694"
San Marino,0,0,0,0,0,0
Serbia,216,1,93,3,210,523
Slovakia,57,1,19,9,25,111
Slovenia,8,1,4,4,4,21
Spain,297,3,98,32,65,495
Sweden,146,1,22,33,46,248
Switzerland,86,1,6,3,22,118
Tajikistan,38,1,23,12,231,305
Turkey,616,22,177,103,737,"1,655"
Turkmenistan,38,0,9,1,71,119
Ukraine,"2,360",8,948,53,"1,762","5,131"
Uzbekistan,399,14,546,12,"2,366","3,337"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"19,742",222,"7,243","1,353","14,722","43,282"
North America,,,,,,
Antigua and Barbuda,103,1,80,4,0,188
"Bahamas, The",123,0,37,19,5,184
Barbados,79,1,65,3,0,148
Belize,146,0,150,11,0,307
Canada,"1,527",2,424,237,0,"2,190"
Costa Rica,539,1,112,19,10,681
Cuba,"4,411",7,"4,176",1,536,"9,131"
Dominica,154,0,189,3,4,350
Dominican Republic,"24,869",49,"28,335",86,0,"53,339"
El Salvador,"8,320",10,"5,935",74,0,"14,339"
Grenada,130,1,70,5,1,207
Guatemala,"4,253",16,"2,239",10,9,"6,527"
Haiti,"10,217",61,"8,427",105,0,"18,810"
Honduras,"5,271",11,"1,966",58,24,"7,330"
Jamaica,"9,629",20,"5,324",485,0,"15,458"
Mexico,"63,764",37,"25,192",241,0,"89,234"
Nicaragua,"1,420",8,678,5,4,"2,115"
Panama,210,3,143,4,1,361
Saint Kitts and Nevis,82,0,62,2,0,146
Saint Lucia,217,1,90,9,0,317
Saint Vincent and the Grenadines,125,0,71,10,0,206
Trinidad and Tobago,781,2,533,20,20,"1,356"
Region Total For North America,"136,370",231,"84,298","1,411",614,"222,924"
Oceania,,,,,,
Australia,469,3,37,50,246,805
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,213,3,271,1,129,617
Kiribati,0,0,0,0,3,3
Marshall Islands,11,0,0,0,0,11
"Micronesia, Federated States of",3,0,0,0,0,3
Nauru,0,0,0,0,0,0
New Zealand,139,4,16,19,52,230
Cook Islands,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,0,0,0,0,0,0
Papua New Guinea,3,0,1,0,0,4
Samoa,46,0,2,0,0,48
Solomon Islands,1,0,0,0,0,1
Tonga,52,0,44,6,1,103
Tuvalu,0,0,0,0,0,0
Vanuatu,0,0,1,0,1,2
Region Total for Oceania,937,10,372,76,432,"1,827"
South America,,,,,,
Argentina,414,7,158,77,22,678
Bolivia,452,2,244,29,23,750
Brazil,"2,710",11,426,163,0,"3,310"
Chile,223,1,67,10,1,302
Colombia,"4,686",38,"2,933",91,0,"7,748"
Ecuador,"3,777",53,"2,767",85,0,"6,682"
Guyana,"1,494",3,"3,357",12,3,"4,869"
Paraguay,82,2,34,0,2,120
Peru,"3,284",47,"2,593",39,0,"5,963"
Suriname,19,0,41,0,2,62
Uruguay,79,1,25,7,8,120
Venezuela,"1,107",11,558,156,639,"2,471"
Region Total For South America,"18,327",176,"13,203",669,700,"33,075"
Worldwide Grand Totals,"315,352","16,176","215,498","25,056","45,664","617,752"